year,month,title,link,date,bread_keywords
2022,3,"대구의 이중 매력-원래 대세 대구 10미, 요즘 대세 빵지순례!",https://blog.naver.com/daegu_news/222685879371,2022. 3. 29. 15:00,"크루아상, 앙버터, 마들렌"
2022,3,서울 근교 카페 베이커리 라페브(Lafeve)로 빵지순례,https://blog.naver.com/hexeph/222670450422,2022. 3. 14. 0:40,"크루아상, 샌드위치, 혼빵, 소보루빵, 단팥빵, 앙버터, 타르트, 프레첼, 탕종빵, 소금빵"
2022,3,가평 빵집 르봉뺑 빵지순례,https://blog.naver.com/obh1680/222688007822,2022. 3. 31. 16:03,"스콘, 크루아상, 샌드위치, 케이크, 단팥빵, 앙버터, 고구마빵, 타르트, 슈톨렌"
2022,3,빵지순례:: 평택 <메인스트리트> 대형 베이커리 카페 솔직후기,https://blog.naver.com/yhm529/222663001742,2022. 3. 3. 18:31,"케이크, 쿠키, 소금빵"
2022,3,여수 빵집 빵지순례 필수코스 갓버터도나스,https://blog.naver.com/love_hcjh/222688408640,2022. 3. 31. 23:44,
2022,3,"학동역 빵집 외계인방앗간 본점, 서울빵지순례",https://blog.naver.com/pinkponytail/222687529674,2022. 3. 31. 2:25,"케이크, 토스트, 쌀빵, 김빵, 소금빵"
2022,3,충주 카페 빵집 빵지순례 더포렛,https://blog.naver.com/gaongim/222661545658,2022. 3. 2. 7:33,크루아상
2022,3,부산 빵지순례 신상 빵집 무무제과,https://blog.naver.com/juya93/222666574331,2022. 3. 7. 23:15,"샌드위치, 피스타치오, 토스트, 퀸아망, 소금빵"
2022,3,서울 빵지순례 잠봉뵈르 맛집 에르제 성수,https://blog.naver.com/kangpoorun/222684825838,2022. 3. 29. 7:00,"스콘, 까눌레, 잠봉뵈르, 호밀빵"
2022,3,[빵지순례] 명동성당 르빵 - 밤식빵과 딸기케잌,https://blog.naver.com/100su0/222672493929,2022. 3. 14. 18:30,"샌드위치, 케이크, 타르트, 르빵, 맘모스빵, 르빵입니"
2022,3,서울 빵지순례 르뱅룰즈,https://blog.naver.com/cheawhi/222664433204,2022. 3. 5. 11:41,"스콘, 샌드위치, 쿠키, 잠봉뵈르, 앙버터, 소금빵"
2022,3,"대구 빵지순례 : 르폴뒤 방문, 크로와상 맛집",https://blog.naver.com/banana_pizza/222667846130,2022. 3. 9. 12:20,"스콘, 크루아상, 케이크, 베이글, 고구마빵, 제빵, 타르트, 프레첼, 소금빵"
2022,3,제주 빵지순례 오드랑베이커리 빵 맛집,https://blog.naver.com/17wow17/222667970219,2022. 3. 9. 15:41,"스콘, 케이크, 에그타르트, 베이글, 제빵, 타르트, 제과제빵"
2022,3,서울빵지순례 올드페리도넛 한남점,https://blog.naver.com/irelsuga/222678785024,2022. 3. 21. 14:38,도넛
2022,3,부천 카스테라 맛집 명인빵지순례상동점 촉촉해,https://blog.naver.com/28blue_sky/222683216811,2022. 3. 26. 9:10,"크루아상, 샌드위치, 마늘빵, 단팥빵, 화이트롤, 맘모스빵, 소금빵"
2022,3,빵지순례 부산 카페 칠암사계 소금빵 맛집,https://blog.naver.com/wlgml8857/222680257537,2022. 3. 22. 23:41,"크루아상, 케이크, 제과제빵, 휘낭시에, 소금빵"
2022,3,빵지순례 안동 월영교달빵 팥크림&딸기크림!,https://blog.naver.com/alouete/222671371630,2022. 3. 31. 15:50,"교달빵, 맘모스빵, 달빵"
